genename	sampname	gene	samp	value
HLA-DOB	0	1	1	-0.727463194488742
HLA-DOB	0	1	2	-1.00220773951462
HLA-DOB	0	1	3	0.276552185798101
HLA-DOB	0	1	4	0.783165197518733
HLA-DOB	0	1	5	-1.79884015042926
HLA-DOB	0	1	6	-0.43716243447507
HLA-DOB	0	1	7	1.88221267428164
HLA-DOB	0	1	8	-0.31792474082192
HLA-DOB	0	1	9	-0.613836622234088
HLA-DOB	0	1	10	-0.967161886033971
HLA-DOB	0	1	11	1.56329555427719
HLA-DOB	0	1	12	0.680522078563431
HLA-DOB	0	1	13	-1.02479673483705
HLA-DOB	0	1	14	-0.00836405314898129
HLA-DOB	0	1	15	0.276552185798101
HLA-DOB	0	1	16	1.68055813520164
HLA-DOB	0	1	17	-0.472421882339273
HLA-DOB	0	1	18	-0.292002404045011
HLA-DOB	0	1	19	-0.419737409894368
HLA-DOB	0	1	20	-0.0207944532282687
HLA-DOB	0	1	21	0.0203763748047752
HLA-DOB	0	1	22	-0.0353837609153406
HLA-DOB	0	1	23	1.9996598149994
HLA-DOB	0	1	24	-1.02479673483705
HLA-DOB	1	1	25	-0.808490050562494
HLA-DOB	1	1	26	1.70194203154943
HLA-DOB	1	1	27	0.232426009856591
HLA-DOB	1	1	28	2.51565129844857
HLA-DOB	1	1	29	-0.707653548868789
HLA-DOB	1	1	30	-2.83007702074302
HLA-DOB	1	1	31	1.22899779276338
HLA-DOB	1	1	32	0.599956740528483
HLA-DOB	1	1	33	2.11612450376986
HLA-DOB	1	1	34	1.47089531622765
HLA-DOB	1	1	35	0.552132312106636
HLA-DOB	1	1	36	1.08233181255721
HLA-DOB	1	1	37	-0.171119490242924
HLA-DOB	1	1	38	-4.82082452311212
HLA-DOB	1	1	39	-3.72244173437601
HLA-DOB	1	1	40	1.21943156018272
HLA-DOB	1	1	41	-4.1987409194781
HLA-DOB	1	1	42	-4.49594091929495
IL12B	0	2	1	-0.59555160604195
IL12B	0	2	2	-0.212938539204662
IL12B	0	2	3	-0.0201461084911048
IL12B	0	2	4	0.595471680918532
IL12B	0	2	5	-0.590206635498991
IL12B	0	2	6	-0.366891628964176
IL12B	0	2	7	0.0272370659436256
IL12B	0	2	8	-0.512157394037856
IL12B	0	2	9	0.964434848465602
IL12B	0	2	10	0.0236429296663979
IL12B	0	2	11	0.180948873985615
IL12B	0	2	12	1.32464507151926
IL12B	0	2	13	0.293855532951435
IL12B	0	2	14	0.361929645706798
IL12B	0	2	15	0.0521665159451888
IL12B	0	2	16	0.00918289654669254
IL12B	0	2	17	0.887826687797722
IL12B	0	2	18	-0.807430272044896
IL12B	0	2	19	0.470968276227805
IL12B	0	2	20	-3.80889750007067
IL12B	0	2	21	1.00520877045037
IL12B	0	2	22	-0.497005987260268
IL12B	0	2	23	1.05239764035293
IL12B	0	2	24	0.161309235136602
IL12B	1	2	25	0.190676631196093
IL12B	1	2	26	-0.452416246296371
IL12B	1	2	27	0.174429795917388
IL12B	1	2	28	0.416004644433419
IL12B	1	2	29	-0.442678355939527
IL12B	1	2	30	0.995597034938127
IL12B	1	2	31	0.970325431607953
IL12B	1	2	32	0.83315239780712
IL12B	1	2	33	0.0871020016631897
IL12B	1	2	34	0.978145058487307
IL12B	1	2	35	-0.242536177399905
IL12B	1	2	36	-5.02060584671257
IL12B	1	2	37	-4.61889329882846
IL12B	1	2	38	-1.04556252295242
IL12B	1	2	39	-0.334859952497429
IL12B	1	2	40	-1.37017650337952
IL12B	1	2	41	-0.889286452550077
IL12B	1	2	42	-3.21984876799842
IFNG	0	3	1	0.0893244587837546
IFNG	0	3	2	-0.529060414763727
IFNG	0	3	3	0.695414875393754
IFNG	0	3	4	0.485121912732206
IFNG	0	3	5	-0.805706266826753
IFNG	0	3	6	-0.641748376867181
IFNG	0	3	7	0.0585343087196768
IFNG	0	3	8	-0.589171718407853
IFNG	0	3	9	-0.655049023737442
IFNG	0	3	10	-1.13918879551303
IFNG	0	3	11	0.324114240336402
IFNG	0	3	12	2.37642611475482
IFNG	0	3	13	0.113039327275815
IFNG	0	3	14	-1.25249789107546
IFNG	0	3	15	-0.717972218756699
IFNG	0	3	16	1.65596390018103
IFNG	0	3	17	0.392080542215654
IFNG	0	3	18	-2.22442466786219
IFNG	0	3	19	-0.093461071918126
IFNG	0	3	20	0.623322808620091
IFNG	0	3	21	0.826410248427193
IFNG	0	3	22	-0.453632284295503
IFNG	0	3	23	1.36603923718996
IFNG	0	3	24	0.0961207553936125
IFNG	1	3	25	-0.227416487861826
IFNG	1	3	26	-0.108030936374163
IFNG	1	3	27	1.09032781483496
IFNG	1	3	28	1.07125858572518
IFNG	1	3	29	-0.731642631598437
IFNG	1	3	30	1.63455179166501
IFNG	1	3	31	0.595090751219547
IFNG	1	3	32	2.24144636373848
IFNG	1	3	33	-0.104381321931435
IFNG	1	3	34	2.12920241095018
IFNG	1	3	35	1.04240779930566
IFNG	1	3	36	-1.74515655140828
IFNG	1	3	37	0.452461674667841
IFNG	1	3	38	-0.208422002390914
IFNG	1	3	39	-1.52414198227533
IFNG	1	3	40	1.35309890327407
IFNG	1	3	41	0.714509773025419
IFNG	1	3	42	-5.01797826118285
IL12A	0	4	1	-0.809685709981185
IL12A	0	4	2	-0.813567035243106
IL12A	0	4	3	-0.836961232516467
IL12A	0	4	4	0.74390457612479
IL12A	0	4	5	0.994047683019339
IL12A	0	4	6	-0.801938119578101
IL12A	0	4	7	-1.50026277312057
IL12A	0	4	8	-0.833049485362753
IL12A	0	4	9	1.07781376104565
IL12A	0	4	10	-0.904254896396719
IL12A	0	4	11	0.580207187791508
IL12A	0	4	12	1.38938339182064
IL12A	0	4	13	-1.67113299622678
IL12A	0	4	14	1.04040872479931
IL12A	0	4	15	0.047880251002493
IL12A	0	4	16	1.97569460161078
IL12A	0	4	17	-1.44700532689278
IL12A	0	4	18	0.162185809130138
IL12A	0	4	19	0.430203772964371
IL12A	0	4	20	0.401869056408869
IL12A	0	4	21	0.841570424564891
IL12A	0	4	22	-0.239268795410681
IL12A	0	4	23	0.623781082267514
IL12A	0	4	24	-0.451823951821168
IL12A	1	4	25	-1.18525534732551
IL12A	1	4	26	-0.116773227392604
IL12A	1	4	27	-0.607230815740169
IL12A	1	4	28	-0.213729689467138
IL12A	1	4	29	-0.58555804064718
IL12A	1	4	30	-0.848727228088122
IL12A	1	4	31	2.71853462035547
IL12A	1	4	32	0.859394536836783
IL12A	1	4	33	0.242411225112397
IL12A	1	4	34	1.05501070019342
IL12A	1	4	35	-0.58555804064718
IL12A	1	4	36	-2.80868638392174
IL12A	1	4	37	-1.78712940838466
IL12A	1	4	38	-2.9086385291056
IL12A	1	4	39	-0.188406561634812
IL12A	1	4	40	-3.8897199156991
IL12A	1	4	41	0.256028538349128
IL12A	1	4	42	0.506144665041884
TNF	0	5	1	-0.254869884569004
TNF	0	5	2	0.106140026762051
TNF	0	5	3	-0.258117965689222
TNF	0	5	4	-1.13705240051812
TNF	0	5	5	0.157774448281299
TNF	0	5	6	-0.359947301692507
TNF	0	5	7	-0.834702747090404
TNF	0	5	8	-0.274442109126425
TNF	0	5	9	0.357229394597005
TNF	0	5	10	-1.02191125730999
TNF	0	5	11	-0.502333781650075
TNF	0	5	12	1.31807810065114
TNF	0	5	13	0.0238596655522562
TNF	0	5	14	-0.0916960593828415
TNF	0	5	15	0.616311340544298
TNF	0	5	16	0.680886279639358
TNF	0	5	17	-2.30878946027334
TNF	0	5	18	-1.18143295616962
TNF	0	5	19	1.17288076328925
TNF	0	5	20	1.56339803812839
TNF	0	5	21	0.181140966543921
TNF	0	5	22	-0.797647399899974
TNF	0	5	23	2.24749683650649
TNF	0	5	24	0.597747462876061
TNF	1	5	25	-0.616587415955551
TNF	1	5	26	-0.744433210835194
TNF	1	5	27	-0.0402743973909842
TNF	1	5	28	-0.214730128666312
TNF	1	5	29	-1.80763387198024
TNF	1	5	30	-0.277723820093655
TNF	1	5	31	-0.0783399691349802
TNF	1	5	32	-0.543434126632806
TNF	1	5	33	0.353697822489099
TNF	1	5	34	1.22724177863551
TNF	1	5	35	-0.595120526788471
TNF	1	5	36	-1.5665836847713
TNF	1	5	37	0.139399899218418
TNF	1	5	38	-1.87870068497625
TNF	1	5	39	-1.85973989946187
TNF	1	5	40	0.221985511740123
TNF	1	5	41	-3.5612367380269
TNF	1	5	42	-1.14999833909933
HLA-F	0	6	1	0.315112885106827
HLA-F	0	6	2	0.833739711305265
HLA-F	0	6	3	-0.344947876867901
HLA-F	0	6	4	-1.38728525127935
HLA-F	0	6	5	0.866530685763553
HLA-F	0	6	6	1.28725424393186
HLA-F	0	6	7	0.266870397355459
HLA-F	0	6	8	0.0176115558332388
HLA-F	0	6	9	-1.31813044526805
HLA-F	0	6	10	-0.839112678974078
HLA-F	0	6	11	0.879964012418712
HLA-F	0	6	12	0.511454660719943
HLA-F	0	6	13	-0.601566307673254
HLA-F	0	6	14	1.69887409792618
HLA-F	0	6	15	-1.43020464268704
HLA-F	0	6	16	1.69751502030808
HLA-F	0	6	17	-1.52259262857942
HLA-F	0	6	18	1.45527606614267
HLA-F	0	6	19	-0.355737100248922
HLA-F	0	6	20	-0.774174458794173
HLA-F	0	6	21	-0.626608628377464
HLA-F	0	6	22	-0.197851184031906
HLA-F	0	6	23	0.198070111143381
HLA-F	0	6	24	-0.630062245173646
HLA-F	1	6	25	-1.32310628263921
HLA-F	1	6	26	1.56834022923364
HLA-F	1	6	27	0.833134667952516
HLA-F	1	6	28	-1.5526896768023
HLA-F	1	6	29	-2.31242602239044
HLA-F	1	6	30	0.965694310710259
HLA-F	1	6	31	0.128797688322728
HLA-F	1	6	32	-1.63861050772416
HLA-F	1	6	33	1.63894431946479
HLA-F	1	6	34	0.209274616759056
HLA-F	1	6	35	2.90513618754787
HLA-F	1	6	36	-0.227473519845347
HLA-F	1	6	37	2.02812411325937
HLA-F	1	6	38	0.341621180754751
HLA-F	1	6	39	3.43994921206324
HLA-F	1	6	40	0.814317309035824
HLA-F	1	6	41	0.633267058889344
HLA-F	1	6	42	1.44247263538946
HLA-E	0	7	1	-0.604243144081043
HLA-E	0	7	2	0.261204497641223
HLA-E	0	7	3	-0.570067968657116
HLA-E	0	7	4	-0.696874151097121
HLA-E	0	7	5	1.15435696849638
HLA-E	0	7	6	-0.163259341033052
HLA-E	0	7	7	-0.393356386573113
HLA-E	0	7	8	-0.436848884165556
HLA-E	0	7	9	-0.277256549684572
HLA-E	0	7	10	-0.707630512458647
HLA-E	0	7	11	0.746965967963942
HLA-E	0	7	12	-0.694637712996021
HLA-E	0	7	13	-1.88602773220725
HLA-E	0	7	14	0.481220498940117
HLA-E	0	7	15	-1.02076626312614
