genename	sampname	gene	samp	value
CD8A	0	1	1	0.25145799118888
CD8A	0	1	2	0.989307014172277
CD8A	0	1	3	0.463129542285404
CD8A	0	1	4	1.15417556727352
CD8A	0	1	5	0.707853203183885
CD8A	0	1	6	-0.295818964516027
CD8A	0	1	7	0.357879239466931
CD8A	0	1	8	0.937741502770784
CD8A	0	1	9	1.50190434839665
CD8A	0	1	10	-0.199350927271097
CD8A	0	1	11	0.804390216300854
CD8A	0	1	12	-0.761191035406826
CD8A	0	1	13	-1.88812302797865
CD8A	0	1	14	-0.237831489372189
CD8A	0	1	15	0.4985235085831
CD8A	0	1	16	-1.26785237823131
CD8A	0	1	17	-1.13411032541836
CD8A	0	1	18	-0.576944361487635
CD8A	0	1	19	0.68687211369897
CD8A	0	1	20	-1.8110204837062
CD8A	0	1	21	1.05329474199887
CD8A	0	1	22	0.876719128987723
CD8A	0	1	23	-1.46724940052751
CD8A	0	1	24	-0.64375572439206
CD8A	1	1	25	0.0479019891725155
CD8A	1	1	26	-1.06494284212457
CD8A	1	1	27	0.347514075855107
CD8A	1	1	28	0.520546461479214
CD8A	1	1	29	0.0171492231672976
CD8A	1	1	30	1.73550366305972
CD8A	1	1	31	1.81846050891659
CD8A	1	1	32	-1.53703055839929
CD8A	1	1	33	1.06877415043484
CD8A	1	1	34	-0.897297694756871
CD8A	1	1	35	2.19891647761112
CD8A	1	1	36	-0.27424640635898
CD8A	1	1	37	0.910443836249544
CD8A	1	1	38	-1.25575038927349
CD8A	1	1	39	-4.14617288110236
CD8A	1	1	40	-5.12946594494485
CD8A	1	1	41	0.487436576675054
CD8A	1	1	42	-5.91253894625233
TAP1	0	2	1	-0.366695515165597
TAP1	0	2	2	1.31115372865509
TAP1	0	2	3	-0.317077629060355
TAP1	0	2	4	-0.936770527335093
TAP1	0	2	5	1.0719688439457
TAP1	0	2	6	-0.514184692232288
TAP1	0	2	7	0.505489291802956
TAP1	0	2	8	-1.6624775337268
TAP1	0	2	9	0.774006924269627
TAP1	0	2	10	-0.798361455879291
TAP1	0	2	11	0.965199259829938
TAP1	0	2	12	0.00925922626753111
TAP1	0	2	13	0.153698911712154
TAP1	0	2	14	0.497167281476983
TAP1	0	2	15	-0.653552493732372
TAP1	0	2	16	-2.52535359165239
TAP1	0	2	17	1.02168147625604
TAP1	0	2	18	0.64718128010893
TAP1	0	2	19	-0.731046555817989
TAP1	0	2	20	0.214883825222824
TAP1	0	2	21	-0.845920242523161
TAP1	0	2	22	1.17314823914931
TAP1	0	2	23	1.46512560865049
TAP1	0	2	24	-0.458523660222223
TAP1	1	2	25	0.691916930040384
TAP1	1	2	26	0.0728528044974373
TAP1	1	2	27	2.99585767609616
TAP1	1	2	28	2.35335855315274
TAP1	1	2	29	2.28517485970968
TAP1	1	2	30	1.13037398175373
TAP1	1	2	31	0.236174068347142
TAP1	1	2	32	0.682022193453522
TAP1	1	2	33	1.87341170747175
TAP1	1	2	34	-1.59780156956871
TAP1	1	2	35	1.54449394536677
TAP1	1	2	36	1.02529612652694
TAP1	1	2	37	0.904112729705375
TAP1	1	2	38	1.01353561207677
TAP1	1	2	39	1.38156120933078
TAP1	1	2	40	2.11878833462276
TAP1	1	2	41	4.74611639803176
TAP1	1	2	42	1.09508682342274
ADA	0	3	1	-0.978075968925835
ADA	0	3	2	1.43801427653575
ADA	0	3	3	-0.384784210578472
ADA	0	3	4	-0.0817538505217038
ADA	0	3	5	0.356292185106545
ADA	0	3	6	-0.79447970333407
ADA	0	3	7	1.6826364721679
ADA	0	3	8	0.390694138736312
ADA	0	3	9	-0.424213044827035
ADA	0	3	10	0.35151763365666
ADA	0	3	11	1.33199065316379
ADA	0	3	12	-0.542362894173899
ADA	0	3	13	0.0745696490706304
