genename	sampname	gene	samp	value
ARSB	0	1	1	0.520744194716932
ARSB	0	1	2	-0.399406938638914
ARSB	0	1	3	1.0299809355233
ARSB	0	1	4	0.707463114222528
ARSB	0	1	5	-0.3748876465909
ARSB	0	1	6	0.309187340458498
ARSB	0	1	7	1.2829349957432
ARSB	0	1	8	-0.156091794725195
ARSB	0	1	9	1.38080671122541
ARSB	0	1	10	0.326297194730323
ARSB	0	1	11	0.622927230950001
ARSB	0	1	12	-0.532102732932593
ARSB	0	1	13	-0.846454145285961
ARSB	0	1	14	0.0583627440699253
ARSB	0	1	15	-0.151738313241474
ARSB	0	1	16	0.339878294954316
ARSB	0	1	17	-1.01128727724143
ARSB	0	1	18	0.886901864049782
ARSB	0	1	19	1.23424689848065
ARSB	0	1	20	0.0700470681383504
ARSB	0	1	21	-0.0812684012909302
ARSB	0	1	22	-3.18047350158356
ARSB	0	1	23	-1.13300752852073
ARSB	0	1	24	-0.903060307211522
ARSB	1	1	25	-0.0812684012909302
ARSB	1	1	26	-1.43081729063022
ARSB	1	1	27	0.206890637761553
ARSB	1	1	28	-0.601980802439519
ARSB	1	1	29	0.427550577730701
ARSB	1	1	30	0.393280330165881
ARSB	1	1	31	0.00891373163347094
ARSB	1	1	32	0.127445681502414
ARSB	1	1	33	0.25517676832625
ARSB	1	1	34	1.00484134026298
ARSB	1	1	35	0.0583627440699253
ARSB	1	1	36	-1.36106307474129
ARSB	1	1	37	0.0129159104747621
ARSB	1	1	38	-0.191272374001348
ARSB	1	1	39	0.24987004040016
ARSB	1	1	40	1.9394162692874
ARSB	1	1	41	-4.87123788287862
ARSB	1	1	42	-3.52544738199469
SGSH	0	2	1	0.339492196988181
SGSH	0	2	2	0.463774590945988
SGSH	0	2	3	0.77811422033581
SGSH	0	2	4	0.336367807582115
SGSH	0	2	5	1.62174097733523
SGSH	0	2	6	-0.410878436832081
SGSH	0	2	7	0.423611489018544
SGSH	0	2	8	-0.899070624429904
SGSH	0	2	9	0.836557006291417
SGSH	0	2	10	1.37493324798491
SGSH	0	2	11	-1.39425931805679
SGSH	0	2	12	0.507319537742635
SGSH	0	2	13	-0.878384165407419
SGSH	0	2	14	-0.328423541833677
SGSH	0	2	15	-0.162805435078211
SGSH	0	2	16	-1.0785955235885
