genename	sampname	gene	samp	value
MALT1	0	1	1	-0.125775732150883
MALT1	0	1	2	-0.125775732150883
MALT1	0	1	3	-2.2947021176387
MALT1	0	1	4	1.57098732692632
MALT1	0	1	5	0.316885343279835
MALT1	0	1	6	-1.00085907632591
MALT1	0	1	7	1.21872303151236
MALT1	0	1	8	0.323228384011138
MALT1	0	1	9	-0.77265980504596
MALT1	0	1	10	-2.22189530738469
MALT1	0	1	11	0.432412574469789
MALT1	0	1	12	0.291397746956855
MALT1	0	1	13	1.26019723209565
MALT1	0	1	14	-1.40209369195453
MALT1	0	1	15	0.373563598284381
MALT1	0	1	16	-0.546211948060034
MALT1	0	1	17	0.256046856176807
MALT1	0	1	18	0.246343493132354
MALT1	0	1	19	0.100851583058427
MALT1	0	1	20	1.01667693902423
MALT1	0	1	21	0.0154127087097097
MALT1	0	1	22	0.417021556990131
MALT1	0	1	23	-0.446132930139814
MALT1	0	1	24	1.09635796622341
MALT1	1	1	25	0.821559361958556
MALT1	1	1	26	0.420105172716865
MALT1	1	1	27	-0.55027517059906
MALT1	1	1	28	-0.987016283947186
MALT1	1	1	29	-0.794386651122959
MALT1	1	1	30	-0.23181547782642
MALT1	1	1	31	0.576825619300092
MALT1	1	1	32	0.623670481164701
MALT1	1	1	33	0.187552251520803
MALT1	1	1	34	0.197419538322791
MALT1	1	1	35	-1.61585073344921
MALT1	1	1	36	-8.35365502128358
MALT1	1	1	37	1.95528624509888
MALT1	1	1	38	-1.9631176800918
MALT1	1	1	39	0.712688294879323
MALT1	1	1	40	-4.2492102428711
MALT1	1	1	41	-5.43306279303448
MALT1	1	1	42	-4.90220766201943
FOS	0	2	1	0.592665698353645
FOS	0	2	2	-1.76955356470405
FOS	0	2	3	1.34169518407323
FOS	0	2	4	1.18048638487609
FOS	0	2	5	1.09252308217298
FOS	0	2	6	-1.19723591384027
FOS	0	2	7	-0.124495432973605
FOS	0	2	8	1.50053904545254
FOS	0	2	9	1.13760451535929
FOS	0	2	10	-1.51910723338733
FOS	0	2	11	0.431040223273391
FOS	0	2	12	-0.452588793066366
FOS	0	2	13	0.613242093803495
FOS	0	2	14	-0.474081205489037
FOS	0	2	15	1.19237438378178
FOS	0	2	16	0.56710200521051
FOS	0	2	17	-1.91808205389624
FOS	0	2	18	-0.23728033993916
FOS	0	2	19	-0.175371365388197
FOS	0	2	20	0.0205947201696271
FOS	0	2	21	-0.20099189046641
FOS	0	2	22	-0.204092051166175
FOS	0	2	23	-0.332000372369594
FOS	0	2	24	-1.06498711984013
FOS	1	2	25	-0.594794449815858
FOS	1	2	26	-1.06498711984013
FOS	1	2	27	-0.0992470248768438
FOS	1	2	28	-0.249877869718186
FOS	1	2	29	-2.28648114829805
FOS	1	2	30	-1.36983518685138
FOS	1	2	31	-1.17439195205821
FOS	1	2	32	-1.48524397950737
FOS	1	2	33	-2.98022756323745
FOS	1	2	34	-1.68606959394744
FOS	1	2	35	-0.245313532499706
FOS	1	2	36	-5.60765745817989
FOS	1	2	37	-3.52706962435731
FOS	1	2	38	-0.878157290308425
FOS	1	2	39	-2.0757389369901
FOS	1	2	40	-1.08735606279222
FOS	1	2	41	-5.62796558698679
FOS	1	2	42	-3.91842087023762
CD8A	0	3	1	0.25145799118888
CD8A	0	3	2	0.357879239466931
CD8A	0	3	3	0.989307014172277
CD8A	0	3	4	0.804390216300854
CD8A	0	3	5	0.707853203183885
CD8A	0	3	6	0.937741502770784
CD8A	0	3	7	1.15417556727352
CD8A	0	3	8	-0.199350927271097
CD8A	0	3	9	-0.237831489372189
CD8A	0	3	10	0.463129542285404
CD8A	0	3	11	0.4985235085831
CD8A	0	3	12	-0.761191035406826
CD8A	0	3	13	0.876719128987723
CD8A	0	3	14	1.05329474199887
CD8A	0	3	15	-1.88812302797865
CD8A	0	3	16	-0.576944361487635
CD8A	0	3	17	1.50190434839665
CD8A	0	3	18	-1.8110204837062
CD8A	0	3	19	-0.64375572439206
CD8A	0	3	20	-1.46724940052751
CD8A	0	3	21	-1.13411032541836
CD8A	0	3	22	-1.26785237823131
CD8A	0	3	23	-0.295818964516027
CD8A	0	3	24	0.68687211369897
CD8A	1	3	25	1.73550366305972
CD8A	1	3	26	0.0479019891725155
CD8A	1	3	27	0.520546461479214
CD8A	1	3	28	0.0171492231672976
CD8A	1	3	29	-1.06494284212457
CD8A	1	3	30	1.06877415043484
CD8A	1	3	31	2.19891647761112
CD8A	1	3	32	0.347514075855107
CD8A	1	3	33	0.487436576675054
CD8A	1	3	34	-1.53703055839929
