genename	sampname	gene	samp	value
E2F3	0	1	1	-1.5795968800472
E2F3	0	1	2	0.661000347858295
E2F3	0	1	3	-0.0591533291142517
E2F3	0	1	4	-0.404833685759143
E2F3	0	1	5	-0.0880777519653767
E2F3	0	1	6	0.875306320868818
E2F3	0	1	7	0.58152821768816
E2F3	0	1	8	-0.840499118046481
E2F3	0	1	9	0.0756934990949648
E2F3	0	1	10	0.289690173094027
E2F3	0	1	11	1.0103262716377
E2F3	0	1	12	-0.0959908953119973
E2F3	0	1	13	-1.88607629204323
E2F3	0	1	14	-1.31414977168899
E2F3	0	1	15	0.329118362792891
E2F3	0	1	16	-1.2979491433577
E2F3	0	1	17	0.152110861836114
E2F3	0	1	18	-0.989077411276043
E2F3	0	1	19	0.605013665293398
E2F3	0	1	20	1.64854152257348
E2F3	0	1	21	1.35459426677495
E2F3	0	1	22	-0.992148910275998
E2F3	0	1	23	0.257459676048176
E2F3	0	1	24	1.70717000332547
E2F3	1	1	25	1.3152413156694
E2F3	1	1	26	0.928798093651891
E2F3	1	1	27	1.07777712231963
E2F3	1	1	28	2.97924130835057
E2F3	1	1	29	-2.10826544163192
E2F3	1	1	30	2.56028483265233
E2F3	1	1	31	-1.04771100134787
E2F3	1	1	32	-1.27534271551756
E2F3	1	1	33	0.882019366364374
E2F3	1	1	34	1.47312641613396
E2F3	1	1	35	2.09110661383426
E2F3	1	1	36	-0.915836944646915
E2F3	1	1	37	-4.38549295713892
E2F3	1	1	38	1.93415688582708
E2F3	1	1	39	2.50618524839172
E2F3	1	1	40	2.97453673640341
E2F3	1	1	41	3.02452653401241
E2F3	1	1	42	4.40400749845777
ATR	0	2	1	0.265633161524075
ATR	0	2	2	-0.657335858749286
ATR	0	2	3	0.714695125402995
ATR	0	2	4	-1.15577413691182
ATR	0	2	5	0.715817202763021
ATR	0	2	6	-0.94447544567538
ATR	0	2	7	-0.0980506096633893
ATR	0	2	8	1.43343576405058
ATR	0	2	9	-0.591483895578455
ATR	0	2	10	-0.0148321208725683
ATR	0	2	11	-0.937882112704568
ATR	0	2	12	-1.08020914744717
ATR	0	2	13	-1.22035993680905
ATR	0	2	14	0.74042923500375
ATR	0	2	15	-0.0953408933600543
ATR	0	2	16	1.71823012514965
ATR	0	2	17	0.175007152309198
ATR	0	2	18	0.94094742779234
ATR	0	2	19	0.0694169011481487
ATR	0	2	20	-2.09699610504436
ATR	0	2	21	-0.399761675432733
ATR	0	2	22	-0.138902265157932
ATR	0	2	23	0.713572755644964
ATR	0	2	24	1.94421935261809
ATR	1	2	25	-0.0723768757570117
ATR	1	2	26	0.689935175772645
ATR	1	2	27	-3.42463950152514
ATR	1	2	28	-0.292096664697257
ATR	1	2	29	0.523084175807601
ATR	1	2	30	-0.934589227282646
ATR	1	2	31	-1.82144848142587
ATR	1	2	32	-0.0441775630651979
ATR	1	2	33	-0.129335496999884
ATR	1	2	34	-3.08079090186159
ATR	1	2	35	-0.412864219016663
ATR	1	2	36	0.360487912322534
ATR	1	2	37	1.61203229171959
ATR	1	2	38	1.13865069507857
ATR	1	2	39	-2.41684944569202
ATR	1	2	40	-2.62130840395757
ATR	1	2	41	-15.0826020816601
ATR	1	2	42	1.7738746840016
STAG1	0	3	1	0.431947794870814
STAG1	0	3	2	0.537832850706751
STAG1	0	3	3	0.0988640884729168
STAG1	0	3	4	-1.20622030455093
STAG1	0	3	5	0.251200617697939
STAG1	0	3	6	-0.843183355762138
STAG1	0	3	7	0.584591289878622
STAG1	0	3	8	0.251200617697939
STAG1	0	3	9	-0.0883357478347318
STAG1	0	3	10	-1.68782326793806
STAG1	0	3	11	0.36731970169141
STAG1	0	3	12	0.921027534618881
STAG1	0	3	13	-0.0662077382642478
STAG1	0	3	14	1.60901592729685
STAG1	0	3	15	-0.183179790100699
STAG1	0	3	16	0.0196718817818075
STAG1	0	3	17	0.461249943498703
STAG1	0	3	18	1.18951017094581
STAG1	0	3	19	0.407986076299808
STAG1	0	3	20	1.53896715979399
STAG1	0	3	21	0.0384726222067762
STAG1	0	3	22	-2.49195545774335
STAG1	0	3	23	-0.460393808718705
STAG1	0	3	24	-1.68155880654619
STAG1	1	3	25	-0.00174387451363957
STAG1	1	3	26	-2.9865912649314
STAG1	1	3	27	-1.01116856875866
STAG1	1	3	28	-0.30372943209333
STAG1	1	3	29	0.70494930895392
STAG1	1	3	30	-4.40323259990465
STAG1	1	3	31	0.841759150569092
STAG1	1	3	32	-0.507063414414714
STAG1	1	3	33	-0.0116870647646401
STAG1	1	3	34	0.884056302596815
STAG1	1	3	35	-1.75934389954749
STAG1	1	3	36	-0.976225265747502
STAG1	1	3	37	0.967239910841741
STAG1	1	3	38	-3.62200588835871
STAG1	1	3	39	0.300329653347422
STAG1	1	3	40	-0.0358724443295672
STAG1	1	3	41	-0.934660096601383
STAG1	1	3	42	0.119480933401217
ORC6	0	4	1	-1.28773757047805
ORC6	0	4	2	-0.537835991661373
ORC6	0	4	3	-0.155646794935306
ORC6	0	4	4	0.736996542017861
ORC6	0	4	5	-1.50694279046105
ORC6	0	4	6	0.866702667417874
ORC6	0	4	7	-0.365093380763294
ORC6	0	4	8	-1.09898270891051
ORC6	0	4	9	0.301305391143398
ORC6	0	4	10	0.531861844808924
ORC6	0	4	11	0.59351192454111
ORC6	0	4	12	0.129088630327967
ORC6	0	4	13	1.05432281198537
ORC6	0	4	14	-0.887181337455974
ORC6	0	4	15	0.18005742810377
ORC6	0	4	16	-1.09008863723405
ORC6	0	4	17	-0.488195630091575
ORC6	0	4	18	-1.14597565167712
ORC6	0	4	19	0.306957678033245
ORC6	0	4	20	2.708169767823
ORC6	0	4	21	1.74501312360564
ORC6	0	4	22	-0.466954864000457
ORC6	0	4	23	0.00635906815784834
ORC6	0	4	24	-0.129711520297271
ORC6	1	4	25	-1.07014285948985
ORC6	1	4	26	0.712058627708518
ORC6	1	4	27	2.83131482961266
ORC6	1	4	28	0.95804342830736
ORC6	1	4	29	-0.797973457745921
ORC6	1	4	30	-0.0721334157084321
ORC6	1	4	31	0.00722334209400215
ORC6	1	4	32	2.19919751908784
ORC6	1	4	33	-1.45834608782769
ORC6	1	4	34	1.97248782712523
ORC6	1	4	35	0.686237849602741
ORC6	1	4	36	-0.464066371937503
ORC6	1	4	37	-1.56969715731364
ORC6	1	4	38	0.951084543403039
ORC6	1	4	39	-0.850228060683426
ORC6	1	4	40	3.63076542955724
ORC6	1	4	41	4.01873931333247
ORC6	1	4	42	3.73628568189483
SMAD3	0	5	1	0.641019008207859
SMAD3	0	5	2	-0.845575272207936
SMAD3	0	5	3	-0.287075402993942
SMAD3	0	5	4	2.21146800242092
SMAD3	0	5	5	0.765175261305613
SMAD3	0	5	6	-0.130957338534038
SMAD3	0	5	7	0.501657310414941
SMAD3	0	5	8	-0.236657049081792
SMAD3	0	5	9	-1.89477428419453
SMAD3	0	5	10	0.0398442620281803
SMAD3	0	5	11	0.174702496583263
SMAD3	0	5	12	0.394005399963212
SMAD3	0	5	13	-1.69212582070079
SMAD3	0	5	14	-1.39299595267086
SMAD3	0	5	15	-0.693798029131056
SMAD3	0	5	16	0.635298310338563
SMAD3	0	5	17	-1.04993349972779
SMAD3	0	5	18	0.116009172141192
SMAD3	0	5	19	0.128201105609406
SMAD3	0	5	20	0.370349878591553
SMAD3	0	5	21	1.63281322724064
SMAD3	0	5	22	1.37823578505616
SMAD3	0	5	23	0.0631053847824962
SMAD3	0	5	24	-0.827991955441287
SMAD3	1	5	25	1.23191690328846
SMAD3	1	5	26	0.126462872284234
SMAD3	1	5	27	0.530129304639454
SMAD3	1	5	28	-1.46224309458194
SMAD3	1	5	29	-1.08008049149395
