genename	sampname	gene	samp	value
CTNNB1	0	1	1	0.302325422666073
CTNNB1	0	1	2	0.10887999566526
CTNNB1	0	1	3	-0.371142160637165
CTNNB1	0	1	4	0.604834154880817
CTNNB1	0	1	5	-0.58082623337845
CTNNB1	0	1	6	0.700744341777365
CTNNB1	0	1	7	0.548364530526883
CTNNB1	0	1	8	0.60155036176388
CTNNB1	0	1	9	-0.825684033241452
CTNNB1	0	1	10	-0.37076800881084
CTNNB1	0	1	11	-2.37388960358821
CTNNB1	0	1	12	1.10231218700892
CTNNB1	0	1	13	0.562551383167616
CTNNB1	0	1	14	-1.0994318979728
CTNNB1	0	1	15	0.744879331616174
CTNNB1	0	1	16	2.90966014586734
CTNNB1	0	1	17	-1.05316821087203
CTNNB1	0	1	18	0.285005905533704
CTNNB1	0	1	19	-0.129938978122421
CTNNB1	0	1	20	-0.783485377044715
CTNNB1	0	1	21	-0.299157469978703
CTNNB1	0	1	22	-0.628222014997818
CTNNB1	0	1	23	0.458237930176447
CTNNB1	0	1	24	-0.413631702005898
CTNNB1	1	1	25	0.385697976313135
CTNNB1	1	1	26	-1.63400448320078
CTNNB1	1	1	27	-0.178329212284283
CTNNB1	1	1	28	-2.09110989496326
CTNNB1	1	1	29	0.868466715580246
CTNNB1	1	1	30	-0.77361598153487
CTNNB1	1	1	31	2.75692119791052
CTNNB1	1	1	32	1.0193528052033
CTNNB1	1	1	33	-1.8800640151898
CTNNB1	1	1	34	3.33519324044592
CTNNB1	1	1	35	-0.700306526291203
CTNNB1	1	1	36	3.27952797612343
CTNNB1	1	1	37	0.103520376830739
CTNNB1	1	1	38	-3.45758950330256
CTNNB1	1	1	39	0.777113347793825
CTNNB1	1	1	40	1.76255344402752
CTNNB1	1	1	41	0.754978357535208
CTNNB1	1	1	42	-5.38930777228259
BMP2	0	2	1	-0.678778960249588
BMP2	0	2	2	0.654002667002849
BMP2	0	2	3	0.261063983290945
BMP2	0	2	4	-1.02009968300408
BMP2	0	2	5	0.38417560072419
BMP2	0	2	6	-1.1692238786052
BMP2	0	2	7	1.39150981996744
BMP2	0	2	8	1.25458863858499
BMP2	0	2	9	0.733241688287225
BMP2	0	2	10	-1.74370016855283
BMP2	0	2	11	0.710403356378895
BMP2	0	2	12	-0.797239880981265
BMP2	0	2	13	-1.22913228707727
BMP2	0	2	14	0.0971856609768816
BMP2	0	2	15	-1.88871910720338
BMP2	0	2	16	-0.179994755837578
BMP2	0	2	17	0.475714296389889
BMP2	0	2	18	0.191168578446646
BMP2	0	2	19	1.18651020414571
BMP2	0	2	20	-0.459038301721314
BMP2	0	2	21	0.761393905718054
BMP2	0	2	22	-0.152147671693471
BMP2	0	2	23	1.81574895120643
BMP2	0	2	24	-0.598632656194154
BMP2	1	2	25	-1.02504432137392
BMP2	1	2	26	-0.444566600217887
BMP2	1	2	27	-0.678778960249588
BMP2	1	2	28	-1.30256274456497
BMP2	1	2	29	-0.346352558470564
BMP2	1	2	30	-2.50664850379605
BMP2	1	2	31	-0.440966514792001
BMP2	1	2	32	0.126418968831259
BMP2	1	2	33	-0.469967802484472
BMP2	1	2	34	-2.27665991160414
BMP2	1	2	35	0.512364170686681
BMP2	1	2	36	-2.08121727478818
BMP2	1	2	37	0.349505817301799
BMP2	1	2	38	-2.55176296291624
BMP2	1	2	39	-3.72903078617189
BMP2	1	2	40	-4.86938739924037
BMP2	1	2	41	-0.882233938857896
BMP2	1	2	42	-1.41548912866963
DVL3	0	3	1	0.295802856794129
DVL3	0	3	2	-0.937546317038115
DVL3	0	3	3	0.833481234203565
DVL3	0	3	4	-0.135807749337792
DVL3	0	3	5	1.53634691419392
DVL3	0	3	6	0.066576284020996
DVL3	0	3	7	0.266589943883249
DVL3	0	3	8	-1.26680500723168
DVL3	0	3	9	-0.189466006974517
DVL3	0	3	10	-0.207648152893978
DVL3	0	3	11	-0.585302478747123
DVL3	0	3	12	0.476744792908403
DVL3	0	3	13	-0.320028478595042
DVL3	0	3	14	0.740729352071952
DVL3	0	3	15	-1.23739602863459
DVL3	0	3	16	-0.789786786440712
DVL3	0	3	17	-1.91692562946747
DVL3	0	3	18	-0.83794116461239
DVL3	0	3	19	-0.862421151233759
DVL3	0	3	20	1.13029284033567
DVL3	0	3	21	1.72561007607771
DVL3	0	3	22	-0.607103016916179
DVL3	0	3	23	1.18898213546862
DVL3	0	3	24	1.63302153816515
DVL3	1	3	25	0.222026997273614
DVL3	1	3	26	0.310264533123369
DVL3	1	3	27	0.0504069411913238
DVL3	1	3	28	0.206968958555589
DVL3	1	3	29	0.692838133591797
