genename	sampname	gene	samp	value
CTNNB1	0	1	1	0.10887999566526
CTNNB1	0	1	2	0.700744341777365
CTNNB1	0	1	3	-0.37076800881084
CTNNB1	0	1	4	-0.371142160637165
CTNNB1	0	1	5	-1.0994318979728
CTNNB1	0	1	6	-0.628222014997818
CTNNB1	0	1	7	1.10231218700892
CTNNB1	0	1	8	0.302325422666073
CTNNB1	0	1	9	0.60155036176388
CTNNB1	0	1	10	-0.58082623337845
CTNNB1	0	1	11	-1.05316821087203
CTNNB1	0	1	12	-0.825684033241452
CTNNB1	0	1	13	-2.37388960358821
CTNNB1	0	1	14	0.604834154880817
CTNNB1	0	1	15	-0.129938978122421
CTNNB1	0	1	16	2.90966014586734
CTNNB1	0	1	17	0.548364530526883
CTNNB1	0	1	18	0.285005905533704
CTNNB1	0	1	19	-0.299157469978703
CTNNB1	0	1	20	-0.783485377044715
CTNNB1	0	1	21	0.744879331616174
CTNNB1	0	1	22	0.458237930176447
CTNNB1	0	1	23	-0.413631702005898
CTNNB1	0	1	24	0.562551383167616
CTNNB1	1	1	25	-0.77361598153487
CTNNB1	1	1	26	1.76255344402752
CTNNB1	1	1	27	-1.63400448320078
CTNNB1	1	1	28	0.868466715580246
CTNNB1	1	1	29	2.75692119791052
CTNNB1	1	1	30	0.385697976313135
CTNNB1	1	1	31	-2.09110989496326
CTNNB1	1	1	32	-0.178329212284283
CTNNB1	1	1	33	3.27952797612343
CTNNB1	1	1	34	-0.700306526291203
CTNNB1	1	1	35	3.33519324044592
CTNNB1	1	1	36	0.777113347793825
CTNNB1	1	1	37	-1.8800640151898
CTNNB1	1	1	38	1.0193528052033
CTNNB1	1	1	39	-3.45758950330256
CTNNB1	1	1	40	0.103520376830739
CTNNB1	1	1	41	0.754978357535208
CTNNB1	1	1	42	-5.38930777228259
ACTN2	0	2	1	-1.57340700134972
ACTN2	0	2	2	-0.412305295879793
ACTN2	0	2	3	-0.412305295879793
ACTN2	0	2	4	-0.0594533067394434
ACTN2	0	2	5	-0.267914932735467
ACTN2	0	2	6	0.331211599056282
ACTN2	0	2	7	-1.86530082903113
ACTN2	0	2	8	-1.76593967523244
ACTN2	0	2	9	0.691402931407352
ACTN2	0	2	10	-0.561354208024377
ACTN2	0	2	11	-0.63772149348849
ACTN2	0	2	12	0.691402931407352
ACTN2	0	2	13	-0.412305295879793
ACTN2	0	2	14	0.748796409590135
ACTN2	0	2	15	1.81384235620084
ACTN2	0	2	16	2.0349427052196
ACTN2	0	2	17	0.204625171545692
ACTN2	0	2	18	-0.267914932735467
ACTN2	0	2	19	-0.561354208024377
ACTN2	0	2	20	0.0744724639818671
ACTN2	0	2	21	0.331211599056282
ACTN2	0	2	22	0.63328750376149
ACTN2	0	2	23	1.58162687027217
ACTN2	0	2	24	-0.339546066498752
ACTN2	1	2	25	-1.03972411191763
ACTN2	1	2	26	0.63328750376149
ACTN2	1	2	27	0.0744724639818671
