genename	sampname	gene	samp	value
GALK2	0	1	1	-0.692861003368542
GALK2	0	1	2	-0.247983649970171
GALK2	0	1	3	0.121361422630431
GALK2	0	1	4	0.367187364879298
GALK2	0	1	5	-0.594724095760264
GALK2	0	1	6	0.504351304746388
GALK2	0	1	7	-0.225162163106673
GALK2	0	1	8	-1.18714672512549
GALK2	0	1	9	0.610703965241131
GALK2	0	1	10	-0.552383822646044
GALK2	0	1	11	1.52793676275055
GALK2	0	1	12	-0.532818544228331
GALK2	0	1	13	0.767462197117462
GALK2	0	1	14	0.381801196942443
GALK2	0	1	15	-0.0245283095410545
GALK2	0	1	16	0.970768096771294
GALK2	0	1	17	0.65684075076137
GALK2	0	1	18	0.394273483453389
GALK2	0	1	19	0.637699326943885
GALK2	0	1	20	0.569771136403295
GALK2	0	1	21	-3.66047766740345
GALK2	0	1	22	-0.494049621776979
GALK2	0	1	23	0.179650050387614
GALK2	0	1	24	0.522328543898477
GALK2	1	1	25	0.816815538056527
GALK2	1	1	26	-0.767027070314403
GALK2	1	1	27	0.0596645480249158
GALK2	1	1	28	0.367187364879298
GALK2	1	1	29	-0.555188831378694
GALK2	1	1	30	-0.788111082809483
GALK2	1	1	31	0.175204488010932
GALK2	1	1	32	-2.04140880162506
GALK2	1	1	33	1.37227360628354
GALK2	1	1	34	1.22128038792707
GALK2	1	1	35	1.15846637262712
GALK2	1	1	36	-0.669492776195089
GALK2	1	1	37	0.134908909451646
GALK2	1	1	38	-6.63216379892082
GALK2	1	1	39	-6.69091339871021
GALK2	1	1	40	1.10266208131268
GALK2	1	1	41	1.02894200060224
GALK2	1	1	42	-3.69077199423973
GLA	0	2	1	0.0145190278290074
GLA	0	2	2	-0.126869525570962
GLA	0	2	3	-0.261117846971659
GLA	0	2	4	-0.896520455934004
GLA	0	2	5	-0.296655097933659
GLA	0	2	6	1.23948746257114
GLA	0	2	7	0.536588554885694
GLA	0	2	8	-0.42193971176711
GLA	0	2	9	-0.422133357060093
GLA	0	2	10	-0.458848339898743
GLA	0	2	11	-0.113889280975202
GLA	0	2	12	-0.0627291163437891
GLA	0	2	13	-0.453537189883406
GLA	0	2	14	-0.935154177306301
GLA	0	2	15	-0.050124858095646
GLA	0	2	16	-0.0697997625228585
GLA	0	2	17	-0.342095463872154
GLA	0	2	18	-0.119274267405261
GLA	0	2	19	0.710315712453857
GLA	0	2	20	-0.123321771906362
GLA	0	2	21	0.040505856621175
GLA	0	2	22	4.06473132591125
GLA	0	2	23	-0.339297373263288
GLA	0	2	24	-1.11284034356162
GLA	1	2	25	-0.75007632119681
GLA	1	2	26	-0.131608880740542
GLA	1	2	27	-0.41073767211645
GLA	1	2	28	0.433866815150146
GLA	1	2	29	-0.653626878303305
GLA	1	2	30	1.66480375831561
GLA	1	2	31	-0.233774897403194
GLA	1	2	32	0.400687544293196
GLA	1	2	33	0.328661087153687
GLA	1	2	34	-0.197844092596115
GLA	1	2	35	2.88256218484158
GLA	1	2	36	0.429943331841363
GLA	1	2	37	-0.385456346921792
GLA	1	2	38	-1.11044756331299
GLA	1	2	39	-1.0280603257181
GLA	1	2	40	0.91331550650204
GLA	1	2	41	5.06992823059945
GLA	1	2	42	3.76726173730753
UGP2	0	3	1	0.225066601849675
UGP2	0	3	2	1.10811423564486
UGP2	0	3	3	1.16109540484103
UGP2	0	3	4	1.4509136968201
UGP2	0	3	5	-0.489689294626898
UGP2	0	3	6	0.702504159620692
UGP2	0	3	7	-0.8572574708952
UGP2	0	3	8	0.619615065567686
UGP2	0	3	9	0.284633903540555
UGP2	0	3	10	-0.00672183872474626
